Translation Key Comparison Report
==================================================

Total used keys: 900
EN keys: 644
FA keys: 644
AR keys: 890

Key                                                EN  FA  AR  Status              
--------------------------------------------------------------------------------
) : (                                              ✗   ✗   ✗   CRITICAL (missing in all)
,                                                  ✗   ✗   ✗   CRITICAL (missing in all)
./ai/SmartSearchBar                                ✗   ✗   ✗   CRITICAL (missing in all)
./legacy/SmartSearchBar                            ✗   ✗   ✗   CRITICAL (missing in all)
./pages/AboutPage                                  ✗   ✗   ✗   CRITICAL (missing in all)
./pages/CartPage                                   ✗   ✗   ✗   CRITICAL (missing in all)
./pages/CheckoutPage                               ✗   ✗   ✗   CRITICAL (missing in all)
./pages/ContactPage                                ✗   ✗   ✗   CRITICAL (missing in all)
./pages/HomePage                                   ✗   ✗   ✗   CRITICAL (missing in all)
./pages/LoginPage                                  ✗   ✗   ✗   CRITICAL (missing in all)
./pages/NotFoundPage                               ✗   ✗   ✗   CRITICAL (missing in all)
./pages/OrderConfirmationPage                      ✗   ✗   ✗   CRITICAL (missing in all)
./pages/OrderDetailsPage                           ✗   ✗   ✗   CRITICAL (missing in all)
./pages/OrderHistoryPage                           ✗   ✗   ✗   CRITICAL (missing in all)
./pages/ProductDetailPage                          ✗   ✗   ✗   CRITICAL (missing in all)
./pages/ProductsPage                               ✗   ✗   ✗   CRITICAL (missing in all)
./pages/ProfilePage                                ✗   ✗   ✗   CRITICAL (missing in all)
./pages/RegisterPage                               ✗   ✗   ✗   CRITICAL (missing in all)
./pages/admin/AdminDashboard                       ✗   ✗   ✗   CRITICAL (missing in all)
./pages/admin/AdminOrders                          ✗   ✗   ✗   CRITICAL (missing in all)
./pages/admin/AdminProducts                        ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/BlogPage                             ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/CareersPage                          ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/CookiePolicyPage                     ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/FAQPage                              ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/HelpPage                             ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/PrivacyPolicyPage                    ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/ReturnsPage                          ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/ShippingPage                         ✗   ✗   ✗   CRITICAL (missing in all)
./pages/legal/TermsOfServicePage                   ✗   ✗   ✗   CRITICAL (missing in all)
.ai-actions-menu                                   ✗   ✗   ✗   CRITICAL (missing in all)
</div>                                             ✗   ✗   ✗   CRITICAL (missing in all)
</p>                                               ✗   ✗   ✗   CRITICAL (missing in all)
</span>                                            ✗   ✗   ✗   CRITICAL (missing in all)
</td>                                              ✗   ✗   ✗   CRITICAL (missing in all)
<button                                            ✗   ✗   ✗   CRITICAL (missing in all)
<div className=                                    ✗   ✗   ✗   CRITICAL (missing in all)
<span className=                                   ✗   ✗   ✗   CRITICAL (missing in all)
